Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
26%,53-3041.00,Taxi Drivers and Chauffeurs,Faster than average,77300
26%,39-2021.00,Nonfarm Animal Caretakers,Much faster than average,73600
26%,27-3091.00,Interpreters and Translators,Much faster than average,23400
26%,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,Average,14300
26%,27-3099.00,"Media and Communication Workers, All Other",Average,11700
26%,27-4032.00,Film and Video Editors,Average,9300
26%,27-4031.00,"Camera Operators, Television, Video, and Motion Picture",Average,8900
26%,27-1027.00,Set and Exhibit Designers,Faster than average,5100
25%,29-1041.00,Optometrists,Much faster than average,20100
25%,29-1199.00,"Health Diagnosing and Treating Practitioners, All Other",Average,15300
,29-1199.01,Acupuncturists,,
,29-1199.02,Nurse Anesthetists,,
,29-1199.03,Nurse Practitioners,,
,29-1199.04,Naturopathic Physicians,,
,29-1199.05,Orthoptists,,
24%,39-9099.00,"Personal Care and Service Workers, All Other",Faster than average,39600
23%,37-1011.00,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,Slower than average,38900
23%,37-3013.00,Tree Trimmers and Pruners,Much faster than average,17200
23%,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Faster than average,9100
22%,37-3011.00,Landscaping and Groundskeeping Workers,Faster than average,362200
22%,41-3021.00,Insurance Sales Agents,Average,152600
22%,11-1011.00,Chief Executives,Little or no change,112500
,11-1011.03,Chief Sustainability Officers,,
22%,27-2011.00,Actors,Average,20800
22%,51-7021.00,Furniture Finishers,Slower than average,7200
22%,37-3019.00,"Grounds Maintenance Workers, All Other",Average,5000
21%,47-2061.00,Construction Laborers,Much faster than average,339400
21%,25-3099.00,"Teachers and Instructors, All Other",Faster than average,225700
,25-3099.01,Adaptive Physical Education Specialists,,
,25-3099.02,Tutors,,
21%,17-1011.00,"Architects, Except Landscape and Naval",Faster than average,46800
21%,47-2181.00,Roofers,Slower than average,30100
21%,33-9021.00,Private Detectives and Investigators,Much faster than average,19300
21%,17-1012.00,Landscape Architects,Much faster than average,9800
20%,27-2012.00,Producers and Directors,Average,40400
,27-2012.01,Producers,,
,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",,
,27-2012.03,Program Directors,,
,27-2012.04,Talent Directors,,
,27-2012.05,Technical Directors/Managers,,
20%,25-3011.00,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",Faster than average,29200
20%,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Decline slowly or moderately,26300
20%,49-9095.00,Manufactured Building and Mobile Home Installers,Slower than average,1200
19%,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,Faster than average,242200
